"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"79","263c755d",5.55,4.44,3,0.25,3.3333333333,"1","1",2215,"MATCH"
"80","0ab3083c",6.11,7.22,3,0,2.6666666667,"1","1",1534,"MATCH"
"81","6c2aef23",6.11,10,5,0,4.6666666667,"1","1",1166,"MATCH"
"82","818371e0",2.77,6.11,1,0,2,"1","1",NA,"MATCH"
"83","188c72a7",5,10,1,2.5,3.6666666667,"1","1",NA,"MATCH"
"84","b71768d8",6.67,10,3,1,3.6666666667,"1","1",531,"MATCH"
"85","25dedb2d",7.78,10,3,0,3,"1","1",751,"MATCH"
"86","517825bd",5,7.22,3,4,3.6666666667,"1","1",1048,"MATCH"
"87","f186a0a4",7.22,10,2,1.5,NA,"1","1",NA,"MATCH"
"88","6503fd75",1.66,2.22,1,1,3.6666666667,"1","1",NA,"MATCH"
"89","c91a4e32",6.67,10,4,0,3.6666666667,"1","1",1178,"MATCH"
"90","98338b55",5.55,8.33,2,0,NA,"1","1",739,"MATCH"
"91","53cc0706",4.44,7.78,3,2,4.3333333333,"1","1",1938,"MATCH"
"92","df1786e6",2.77,10,3,1,3.6666666667,"1","1",1004,"MATCH"
"93","a3d39b25",6.67,8.89,1,1,3.6666666667,"1","1",1452,"MATCH"
"94","41260fef",3.89,9.44,3,1,5,"1","1",502,"MATCH"
"95","15875402",5,10,3,0,3,"1","1",NA,"MATCH"
"96","9f51aeec",9.44,10,2,0.25,2.3333333333,"1","1",NA,"MATCH"
"97","03a054f0",10,10,3,0,3,"1","1",693,"MATCH"
"98","93338205",3.33,7.78,3,0.5,2.6666666667,"1","1",1461,"MATCH"
"99","6a5e2cdb",6.667,10,2,1,3.6666666667,"1","1",NA,"MATCH"
"100","0549b570",4.44,9.44,3,0,3,"1","1",1830,"MATCH"
"101","de863440",4.44,6.11,4.5,0,4.3333333333,"1","1",NA,"MATCH"
"102","59376c09",3.88,8.89,3,0,4,"1","1",775,"MATCH"
"103","96529217",8.89,10,3,5,4.3333333333,"1","1",1403,"MATCH"
"104","866b57a7",6.67,10,1,1,4,"1","1",NA,"MATCH"
"105","609d0d9b",6.67,10,3,3,4,"1","1",769,"MATCH"
"106","251792e8",5,10,3,0,4,"1","1",1023,"MATCH"
"107","fcb993e5",7.78,9.44,3.5,6.5,4,"1","1",2695,"MATCH"
"108","12f84eb0",10,10,3,6.5,4,"1","1",1323,"MATCH"
"109","486191a4",10,10,3,3,4.3333333333,"1","1",NA,"MATCH"
"110","721bc72a",6.67,10,2,1,4,"1","1",NA,"MATCH"
"111","56fd3e1e",6.11,9.44,1,0.5,4,"1","1",1384,"MATCH"
"112","5cdd0d19",8.33,10,1.5,1.5,4.6666666667,"1","1",1144,"MATCH"
"113","5303608d",5.56,9.44,11,5,4.6666666667,"1","1",1296,"MATCH"
"114","c3997ed6",9.44,10,3,2.5,5,"1","1",363,"MATCH"
"115","dde898eb",7.78,10,4,0,3.3333333333,"1","1",1242,"MATCH"
"116","baa9db48",3.33,7.22,4,3,4.3333333333,"1","1",1576,"MATCH"
"117","c3e79533",3.89,6.67,3,2,4,"1","1",618,"MATCH"
"118","eb8fbb46",6.11,9.44,5,6,5,"1","1",698,"MATCH"
"119","340b60e7",6.66,10,9,0.11,3.6666666667,"1","1",636,"MATCH"
"120","d15eaf16",7.22,10,3.25,0,4,"1","1",1292,"MATCH"
"121","e8b8fdec",6.67,9.44,1,1,3.3333333333,"1","1",953,"MATCH"
"122","67c0460b",8.89,10,8,11,5,"1","1",NA,"MATCH"
"123","3e545d0a",6.11,9.44,1,1,4,"0","2",NA,"MATCH"
"124","f443d6ca",8.33,10,2,1,4,"0","2",1800,"MATCH"
"125","b005a881",4.44,7.22,4,5,4,"0","2",2721,"MATCH"
"126","67d8ff84",1.11,10,3,0,3.3333333333,"0","2",870,"MATCH"
"127","2ce00fbc",6.666,7.22,2,1,3.3333333333,"0","2",790,"MATCH"
"128","26046eb9",3.89,10,1.5,0.5,3.6666666667,"0","2",974,"MATCH"
"129","7cb110e2",4.44,10,3,0,4.3333333333,"0","2",NA,"MATCH"
"130","c45d62ce",3.88,7.77,3,0,1,"0","2",626,"MATCH"
"131","eb246652",10,10,3,0,4,"0","2",NA,"MATCH"
"132","c147963e",5.56,10,1,2,3.6666666667,"0","2",687,"MATCH"
"133","741a7947",3.33,6.11,3,0,3.3333333333,"0","2",NA,"MATCH"
