"","Subject","Pre","Post","LeaYrs","DUH","AECI","LangLev","List","Trial","Time","Type"
"70","7a99a20a",9.4,10,5,0.25,4.3333333333,"B1","1","1",1388,"MATCH"
"71","23c390c9",7.8,7.2,1.5,0.125,3,"B1","1","1",694,"MATCH"
"72","0d3bd7a0",6.7,8.9,3,1.25,3.5,"B1","1","1",1164,"MATCH"
"73","e026b148",2.2,10,6,0,4.6666666667,"B1","1","1",1497,"MATCH"
"74","b2f7aa09",4.4,10,3,0.75,4.3333333333,"B1","1","1",2123,"MATCH"
"75","59c1a5e7",7.2,10,3,0,3.3333333333,"B1","1","1",1418,"MATCH"
"76","c114f50f",10,10,0.5,0.5,4.6666666667,"B1","1","1",NA,"MATCH"
"77","3deaf195",8.8,10,1,0,3.6666666667,"B1","1","1",1307,"MATCH"
"78","514e5fd7",10,10,5,1.5,4.6666666667,"B2+","1","1",1474,"MATCH"
"79","ffbb64d5",10,10,7,4,4.3333333333,"B2+","1","1",770,"MATCH"
"80","3387e93f",8.8,10,15,1,4.6666666667,"B2+","1","1",1936,"MATCH"
"81","7b3f5faa",10,10,10,0.125,4.6666666667,"B2+","1","1",600,"MATCH"
"82","5f0bf551",1.7,10,7.5,1,4,"B2+","1","1",NA,"MATCH"
"83","32e65391",4.4,10,1,3.25,4.3333333333,"B2+","1","1",1138,"MATCH"
"84","31e5a7ee",10,10,10.5,0,4,"B2+","1","1",2207,"MATCH"
"85","b03a0210",10,10,7,0.25,4.6666666667,"B2+","1","1",1053,"MATCH"
"86","848074de",7.8,10,2,1.25,4,"B2+","1","1",1270,"MATCH"
"87","428830bf",8.3,10,6,1.75,4.3333333333,"B2+","1","1",2050,"MATCH"
"88","d5268043",9.4,10,0.75,0.3,4.3333333333,"B2+","1","1",NA,"MATCH"
"89","947b36a8",4.4,6.1,2,1,4,"B2+","1","1",1046,"MATCH"
"90","f38ed83e",9.4,10,6.5,0,3.6666666667,"B2+","1","1",1126,"MATCH"
"91","9c64d930",6.1,10,2,0,4.3333333333,"B2+","1","1",1048,"MATCH"
"92","eb02331f",10,10,6,0,5,"B2+","1","1",1024,"MATCH"
"93","10848d7c",9.4,10,5,1.5,4.6666666667,"B2+","1","1",1132,"MATCH"
"94","cbd7a6c9",10,10,1,0.5,4.3333333333,"B2+","1","1",779,"MATCH"
"95","2b9cdd4b",10,10,5,0.75,5,"B2+","1","1",937,"MATCH"
"96","66ae62e9",3.3,10,6,0,3.6666666667,"B2+","1","1",NA,"MATCH"
