"","Subject","List","Trial","Time","Type","Lang"
"121","8508ee6c","0","2",1172,"MATCH","L2"
"122","8f551579","0","2",1042,"MATCH","L2"
"123","8a2c97d5","0","2",506,"MATCH","L2"
"124","4d419e7a","0","2",703,"MATCH","L2"
"125","9fd8805f","0","2",1053,"MATCH","L2"
"126","0bd48e31","0","2",624,"MATCH","L2"
"127","ee4837b0","0","2",607,"MATCH","L2"
"128","93b24402","0","2",449,"MATCH","L2"
"129","d3967b17","0","2",2504,"MATCH","L2"
"130","bfc95808","0","2",1477,"MATCH","L2"
"131","c6385cb7","0","2",1304,"MATCH","L2"
"132","d9ffc7ed","0","2",809,"MATCH","L2"
"133","50bfaf0e","0","2",2147,"MATCH","L2"
"134","cc817718","0","2",808,"MATCH","L2"
"135","0aa00f25","0","2",997,"MATCH","L2"
"136","868df361","0","2",802,"MATCH","L2"
"137","3f91cfa7","0","2",2131,"MATCH","L2"
"138","7cda099a","0","2",1398,"MATCH","L2"
"139","6bdf23ec","0","2",843,"MATCH","L2"
"140","8e1b5327","0","2",738,"MATCH","L2"
"141","c1b15df9","0","2",765,"MATCH","L2"
"142","1fc23b09","0","2",721,"MATCH","L2"
"143","0888364f","0","2",697,"MATCH","L2"
"144","5d5a0842","0","2",569,"MATCH","L2"
"145","d7f4b666","0","2",1143,"MATCH","L2"
"146","df99e021","0","2",559,"MATCH","L2"
"147","d9c7c5ff","0","2",NA,"MATCH","L2"
"148","e034a323","1","2",1278,"MATCH","L2"
"149","13bc3a3e","1","2",NA,"MATCH","L2"
"150","833efcf2","1","2",NA,"MATCH","L2"
"151","1ba8b63a","1","2",NA,"MATCH","L2"
"152","5af29f72","1","2",709,"MATCH","L2"
"153","f36e76f9","1","2",NA,"MATCH","L2"
"154","cfe9b984","1","2",NA,"MATCH","L2"
"155","3b1c676f","1","2",NA,"MATCH","L2"
"156","c15f1815","1","2",NA,"MATCH","L2"
"157","c7d554ea","1","2",1091,"MATCH","L2"
"158","da0f3d33","1","2",2902,"MATCH","L2"
"159","337d4896","1","2",1700,"MATCH","L2"
"160","8e107dc5","1","2",661,"MATCH","L2"
"161","4f7e6316","1","2",1385,"MATCH","L2"
"162","016cb1a1","1","2",NA,"MATCH","L2"
"163","e4e0da4a","1","2",2926,"MATCH","L2"
"164","ea5febef","1","2",826,"MATCH","L2"
"165","e6c18c70","1","2",2752,"MATCH","L2"
"166","d66fa12b","1","2",NA,"MATCH","L2"
"167","dbeeb7ea","1","2",761,"MATCH","L2"
"168","fb3bf7ba","1","2",NA,"MATCH","L2"
"169","8fa7f98f","1","2",980,"MATCH","L2"
"170","7a99a20a","1","2",2049,"MATCH","L2"
"171","23c390c9","1","2",1124,"MATCH","L2"
"172","0d3bd7a0","1","2",NA,"MATCH","L2"
"173","e026b148","1","2",2116,"MATCH","L2"
"174","b2f7aa09","1","2",NA,"MATCH","L2"
"175","59c1a5e7","1","2",1395,"MATCH","L2"
"176","c114f50f","1","2",NA,"MATCH","L2"
"177","3deaf195","1","2",NA,"MATCH","L2"
"178","514e5fd7","1","2",3112,"MATCH","L2"
"179","ffbb64d5","1","2",657,"MATCH","L2"
"180","3387e93f","1","2",NA,"MATCH","L2"
"181","7b3f5faa","1","2",786,"MATCH","L2"
"182","5f0bf551","1","2",765,"MATCH","L2"
"183","32e65391","1","2",1734,"MATCH","L2"
"184","31e5a7ee","1","2",1873,"MATCH","L2"
"185","b03a0210","1","2",1826,"MATCH","L2"
"186","848074de","1","2",1087,"MATCH","L2"
"187","428830bf","1","2",NA,"MATCH","L2"
"188","d5268043","1","2",1000,"MATCH","L2"
"189","947b36a8","1","2",1320,"MATCH","L2"
"190","f38ed83e","1","2",NA,"MATCH","L2"
"191","9c64d930","1","2",NA,"MATCH","L2"
"192","eb02331f","1","2",2131,"MATCH","L2"
"193","10848d7c","1","2",777,"MATCH","L2"
"194","cbd7a6c9","1","2",810,"MATCH","L2"
"195","2b9cdd4b","1","2",826,"MATCH","L2"
"196","66ae62e9","1","2",2697,"MATCH","L2"
"197","ad139538","1","2",NA,"MATCH","L2"
"198","ced60332","1","2",778,"MATCH","L2"
"199","001b6dbd","1","2",1159,"MATCH","L2"
"200","c6d0416f","1","2",1194,"MATCH","L2"
"201","7f602b96","0","3",1180,"MATCH","L2"
"202","4c0ed8e8","0","3",1614,"MATCH","L2"
"203","5f09194f","0","3",NA,"MATCH","L2"
"204","cf96590e","0","3",1742,"MATCH","L2"
"205","7e2ddfb9","0","3",1654,"MATCH","L2"
"206","c736e9f8","0","3",547,"MATCH","L2"
"207","91388be0","0","3",2240,"MATCH","L2"
"208","42761fd6","0","3",1243,"MATCH","L2"
"209","00b3eb76","0","3",NA,"MATCH","L2"
"210","4eeee54c","0","3",861,"MATCH","L2"
"211","8fbb4282","0","3",NA,"MATCH","L2"
"212","b5480d50","0","3",2033,"MATCH","L2"
"213","eedbf0c3","0","3",538,"MATCH","L2"
"214","66b7c5fa","0","3",NA,"MATCH","L2"
"215","a29ce690","0","3",1400,"MATCH","L2"
"216","c42d2738","0","3",525,"MATCH","L2"
"217","aa132e6a","0","3",NA,"MATCH","L2"
"218","2151232b","0","3",1438,"MATCH","L2"
"219","3260deba","0","3",NA,"MATCH","L2"
"220","c542a4f8","0","3",NA,"MATCH","L2"
"221","8508ee6c","0","3",2554,"MATCH","L2"
"222","8f551579","0","3",NA,"MATCH","L2"
"223","8a2c97d5","0","3",918,"MATCH","L2"
"224","4d419e7a","0","3",1038,"MATCH","L2"
"225","9fd8805f","0","3",NA,"MATCH","L2"
"226","0bd48e31","0","3",848,"MATCH","L2"
"227","ee4837b0","0","3",649,"MATCH","L2"
"228","93b24402","0","3",NA,"MATCH","L2"
"229","d3967b17","0","3",1908,"MATCH","L2"
"230","bfc95808","0","3",1193,"MATCH","L2"
"231","c6385cb7","0","3",1079,"MATCH","L2"
"232","d9ffc7ed","0","3",1802,"MATCH","L2"
"233","50bfaf0e","0","3",737,"MATCH","L2"
"234","cc817718","0","3",NA,"MATCH","L2"
"235","0aa00f25","0","3",821,"MATCH","L2"
"236","868df361","0","3",720,"MATCH","L2"
"237","3f91cfa7","0","3",2423,"MATCH","L2"
"238","7cda099a","0","3",NA,"MATCH","L2"
"239","6bdf23ec","0","3",925,"MATCH","L2"
"240","8e1b5327","0","3",554,"MATCH","L2"
"241","c1b15df9","0","3",951,"MATCH","L2"
"242","1fc23b09","0","3",817,"MATCH","L2"
"243","0888364f","0","3",701,"MATCH","L2"
"244","5d5a0842","0","3",871,"MATCH","L2"
"245","d7f4b666","0","3",NA,"MATCH","L2"
"246","df99e021","0","3",1339,"MATCH","L2"
"247","d9c7c5ff","0","3",1502,"MATCH","L2"
"248","e034a323","1","3",1337,"MATCH","L2"
"249","13bc3a3e","1","3",913,"MATCH","L2"
"250","833efcf2","1","3",2776,"MATCH","L2"
"251","1ba8b63a","1","3",1975,"MATCH","L2"
"252","5af29f72","1","3",1451,"MATCH","L2"
"253","f36e76f9","1","3",1694,"MATCH","L2"
"254","cfe9b984","1","3",NA,"MATCH","L2"
"255","3b1c676f","1","3",NA,"MATCH","L2"
"256","c15f1815","1","3",1400,"MATCH","L2"
"257","c7d554ea","1","3",2004,"MATCH","L2"
"258","da0f3d33","1","3",1617,"MATCH","L2"
"259","337d4896","1","3",1041,"MATCH","L2"
"260","8e107dc5","1","3",1402,"MATCH","L2"
"261","4f7e6316","1","3",2779,"MATCH","L2"
"262","016cb1a1","1","3",1998,"MATCH","L2"
"263","e4e0da4a","1","3",2878,"MATCH","L2"
"264","ea5febef","1","3",NA,"MATCH","L2"
"265","e6c18c70","1","3",1059,"MATCH","L2"
"266","d66fa12b","1","3",1387,"MATCH","L2"
"267","dbeeb7ea","1","3",1839,"MATCH","L2"
"268","fb3bf7ba","1","3",685,"MATCH","L2"
"269","8fa7f98f","1","3",1182,"MATCH","L2"
"270","7a99a20a","1","3",984,"MATCH","L2"
"271","23c390c9","1","3",1007,"MATCH","L2"
"272","0d3bd7a0","1","3",1081,"MATCH","L2"
"273","e026b148","1","3",815,"MATCH","L2"
"274","b2f7aa09","1","3",1278,"MATCH","L2"
"275","59c1a5e7","1","3",922,"MATCH","L2"
"276","c114f50f","1","3",1094,"MATCH","L2"
"277","3deaf195","1","3",1711,"MATCH","L2"
"278","514e5fd7","1","3",2269,"MATCH","L2"
"279","ffbb64d5","1","3",654,"MATCH","L2"
"280","3387e93f","1","3",2654,"MATCH","L2"
"281","7b3f5faa","1","3",789,"MATCH","L2"
"282","5f0bf551","1","3",864,"MATCH","L2"
"283","32e65391","1","3",926,"MATCH","L2"
"284","31e5a7ee","1","3",1438,"MATCH","L2"
"285","b03a0210","1","3",1314,"MATCH","L2"
"286","848074de","1","3",1291,"MATCH","L2"
"287","428830bf","1","3",1377,"MATCH","L2"
"288","d5268043","1","3",1751,"MATCH","L2"
"289","947b36a8","1","3",934,"MATCH","L2"
"290","f38ed83e","1","3",768,"MATCH","L2"
"291","9c64d930","1","3",1373,"MATCH","L2"
"292","eb02331f","1","3",1543,"MATCH","L2"
"293","10848d7c","1","3",1036,"MATCH","L2"
"294","cbd7a6c9","1","3",1155,"MATCH","L2"
"295","2b9cdd4b","1","3",1009,"MATCH","L2"
"296","66ae62e9","1","3",1247,"MATCH","L2"
"297","ad139538","1","3",1002,"MATCH","L2"
"298","ced60332","1","3",902,"MATCH","L2"
"299","001b6dbd","1","3",2689,"MATCH","L2"
"300","c6d0416f","1","3",1380,"MATCH","L2"
"301","7f602b96","0","4",720,"MATCH","L2"
"302","4c0ed8e8","0","4",1066,"MATCH","L2"
"303","5f09194f","0","4",827,"MATCH","L2"
"304","cf96590e","0","4",708,"MATCH","L2"
"305","7e2ddfb9","0","4",1602,"MATCH","L2"
"306","c736e9f8","0","4",573,"MATCH","L2"
"307","91388be0","0","4",1259,"MATCH","L2"
"308","42761fd6","0","4",708,"MATCH","L2"
"309","00b3eb76","0","4",728,"MATCH","L2"
"310","4eeee54c","0","4",700,"MATCH","L2"
"311","8fbb4282","0","4",511,"MATCH","L2"
"312","b5480d50","0","4",672,"MATCH","L2"
"313","eedbf0c3","0","4",522,"MATCH","L2"
"314","66b7c5fa","0","4",483,"MATCH","L2"
"315","a29ce690","0","4",1131,"MATCH","L2"
"316","c42d2738","0","4",708,"MATCH","L2"
"317","aa132e6a","0","4",NA,"MATCH","L2"
"318","2151232b","0","4",893,"MATCH","L2"
"319","3260deba","0","4",1116,"MATCH","L2"
"320","c542a4f8","0","4",795,"MATCH","L2"
"321","8508ee6c","0","4",1883,"MATCH","L2"
"322","8f551579","0","4",1000,"MATCH","L2"
"323","8a2c97d5","0","4",451,"MATCH","L2"
"324","4d419e7a","0","4",713,"MATCH","L2"
"325","9fd8805f","0","4",NA,"MATCH","L2"
"326","0bd48e31","0","4",NA,"MATCH","L2"
"327","ee4837b0","0","4",480,"MATCH","L2"
"328","93b24402","0","4",560,"MATCH","L2"
"329","d3967b17","0","4",NA,"MATCH","L2"
"330","bfc95808","0","4",512,"MATCH","L2"
"331","c6385cb7","0","4",723,"MATCH","L2"
"332","d9ffc7ed","0","4",581,"MATCH","L2"
"333","50bfaf0e","0","4",1602,"MATCH","L2"
"334","cc817718","0","4",624,"MATCH","L2"
"335","0aa00f25","0","4",1049,"MATCH","L2"
"336","868df361","0","4",533,"MATCH","L2"
"337","3f91cfa7","0","4",1330,"MATCH","L2"
"338","7cda099a","0","4",763,"MATCH","L2"
"339","6bdf23ec","0","4",670,"MATCH","L2"
"340","8e1b5327","0","4",590,"MATCH","L2"
"341","c1b15df9","0","4",712,"MATCH","L2"
"342","1fc23b09","0","4",773,"MATCH","L2"
"343","0888364f","0","4",415,"MATCH","L2"
"344","5d5a0842","0","4",421,"MATCH","L2"
"345","d7f4b666","0","4",539,"MATCH","L2"
"346","df99e021","0","4",603,"MATCH","L2"
"347","d9c7c5ff","0","4",1035,"MATCH","L2"
"348","e034a323","1","4",1835,"MATCH","L2"
"349","13bc3a3e","1","4",2492,"MATCH","L2"
"350","833efcf2","1","4",12071,"MATCH","L2"
"351","1ba8b63a","1","4",NA,"MATCH","L2"
"352","5af29f72","1","4",989,"MATCH","L2"
"353","f36e76f9","1","4",663,"MATCH","L2"
"354","cfe9b984","1","4",NA,"MATCH","L2"
"355","3b1c676f","1","4",2344,"MATCH","L2"
"356","c15f1815","1","4",NA,"MATCH","L2"
"357","c7d554ea","1","4",1786,"MATCH","L2"
"358","da0f3d33","1","4",1609,"MATCH","L2"
"359","337d4896","1","4",1732,"MATCH","L2"
"360","8e107dc5","1","4",2354,"MATCH","L2"
"361","4f7e6316","1","4",NA,"MATCH","L2"
"362","016cb1a1","1","4",993,"MATCH","L2"
"363","e4e0da4a","1","4",1035,"MATCH","L2"
"364","ea5febef","1","4",820,"MATCH","L2"
"365","e6c18c70","1","4",918,"MATCH","L2"
"366","d66fa12b","1","4",NA,"MATCH","L2"
"367","dbeeb7ea","1","4",1879,"MATCH","L2"
"368","fb3bf7ba","1","4",NA,"MATCH","L2"
"369","8fa7f98f","1","4",NA,"MATCH","L2"
"370","7a99a20a","1","4",1516,"MATCH","L2"
"371","23c390c9","1","4",741,"MATCH","L2"
"372","0d3bd7a0","1","4",NA,"MATCH","L2"
"373","e026b148","1","4",NA,"MATCH","L2"
"374","b2f7aa09","1","4",1509,"MATCH","L2"
"375","59c1a5e7","1","4",1192,"MATCH","L2"
"376","c114f50f","1","4",1900,"MATCH","L2"
"377","3deaf195","1","4",NA,"MATCH","L2"
"378","514e5fd7","1","4",1377,"MATCH","L2"
"379","ffbb64d5","1","4",1025,"MATCH","L2"
"380","3387e93f","1","4",NA,"MATCH","L2"
"381","7b3f5faa","1","4",1841,"MATCH","L2"
"382","5f0bf551","1","4",1502,"MATCH","L2"
"383","32e65391","1","4",1409,"MATCH","L2"
"384","31e5a7ee","1","4",NA,"MATCH","L2"
"385","b03a0210","1","4",1265,"MATCH","L2"
"386","848074de","1","4",2514,"MATCH","L2"
"387","428830bf","1","4",NA,"MATCH","L2"
"388","d5268043","1","4",1469,"MATCH","L2"
"389","947b36a8","1","4",861,"MATCH","L2"
"390","f38ed83e","1","4",NA,"MATCH","L2"
"391","9c64d930","1","4",1981,"MATCH","L2"
"392","eb02331f","1","4",1755,"MATCH","L2"
"393","10848d7c","1","4",1259,"MATCH","L2"
"394","cbd7a6c9","1","4",NA,"MATCH","L2"
"395","2b9cdd4b","1","4",795,"MATCH","L2"
"396","66ae62e9","1","4",NA,"MATCH","L2"
"397","ad139538","1","4",1061,"MATCH","L2"
"398","ced60332","1","4",1179,"MATCH","L2"
"399","001b6dbd","1","4",2713,"MATCH","L2"
"400","c6d0416f","1","4",2450,"MATCH","L2"
"401","7f602b96","0","5",436,"MATCH","L2"
"402","4c0ed8e8","0","5",2759,"MATCH","L2"
"403","5f09194f","0","5",537,"MATCH","L2"
"404","cf96590e","0","5",NA,"MATCH","L2"
"405","7e2ddfb9","0","5",NA,"MATCH","L2"
"406","c736e9f8","0","5",743,"MATCH","L2"
"407","91388be0","0","5",663,"MATCH","L2"
"408","42761fd6","0","5",880,"MATCH","L2"
"409","00b3eb76","0","5",689,"MATCH","L2"
"410","4eeee54c","0","5",710,"MATCH","L2"
"411","8fbb4282","0","5",748,"MATCH","L2"
"412","b5480d50","0","5",693,"MATCH","L2"
"413","eedbf0c3","0","5",366,"MATCH","L2"
"414","66b7c5fa","0","5",441,"MATCH","L2"
"415","a29ce690","0","5",1236,"MATCH","L2"
"416","c42d2738","0","5",468,"MATCH","L2"
"417","aa132e6a","0","5",3691,"MATCH","L2"
"418","2151232b","0","5",1117,"MATCH","L2"
"419","3260deba","0","5",NA,"MATCH","L2"
"420","c542a4f8","0","5",581,"MATCH","L2"
"421","8508ee6c","0","5",2163,"MATCH","L2"
"422","8f551579","0","5",921,"MATCH","L2"
"423","8a2c97d5","0","5",360,"MATCH","L2"
"424","4d419e7a","0","5",2127,"MATCH","L2"
"425","9fd8805f","0","5",681,"MATCH","L2"
"426","0bd48e31","0","5",818,"MATCH","L2"
"427","ee4837b0","0","5",425,"MATCH","L2"
"428","93b24402","0","5",572,"MATCH","L2"
"429","d3967b17","0","5",1026,"MATCH","L2"
"430","bfc95808","0","5",583,"MATCH","L2"
"431","c6385cb7","0","5",NA,"MATCH","L2"
"432","d9ffc7ed","0","5",1325,"MATCH","L2"
"433","50bfaf0e","0","5",861,"MATCH","L2"
"434","cc817718","0","5",1532,"MATCH","L2"
"435","0aa00f25","0","5",650,"MATCH","L2"
"436","868df361","0","5",NA,"MATCH","L2"
"437","3f91cfa7","0","5",1947,"MATCH","L2"
"438","7cda099a","0","5",806,"MATCH","L2"
"439","6bdf23ec","0","5",972,"MATCH","L2"
"440","8e1b5327","0","5",493,"MATCH","L2"
"441","c1b15df9","0","5",NA,"MATCH","L2"
"442","1fc23b09","0","5",874,"MATCH","L2"
"443","0888364f","0","5",611,"MATCH","L2"
"444","5d5a0842","0","5",437,"MATCH","L2"
"445","d7f4b666","0","5",899,"MATCH","L2"
"446","df99e021","0","5",830,"MATCH","L2"
"447","d9c7c5ff","0","5",1062,"MATCH","L2"
"448","e034a323","1","5",NA,"MATCH","L2"
"449","13bc3a3e","1","5",2131,"MATCH","L2"
"450","833efcf2","1","5",1880,"MATCH","L2"
"451","1ba8b63a","1","5",NA,"MATCH","L2"
"452","5af29f72","1","5",612,"MATCH","L2"
"453","f36e76f9","1","5",NA,"MATCH","L2"
"454","cfe9b984","1","5",NA,"MATCH","L2"
"455","3b1c676f","1","5",828,"MATCH","L2"
"456","c15f1815","1","5",NA,"MATCH","L2"
"457","c7d554ea","1","5",774,"MATCH","L2"
"458","da0f3d33","1","5",NA,"MATCH","L2"
"459","337d4896","1","5",1178,"MATCH","L2"
"460","8e107dc5","1","5",499,"MATCH","L2"
"461","4f7e6316","1","5",1555,"MATCH","L2"
"462","016cb1a1","1","5",889,"MATCH","L2"
"463","e4e0da4a","1","5",973,"MATCH","L2"
"464","ea5febef","1","5",396,"MATCH","L2"
"465","e6c18c70","1","5",704,"MATCH","L2"
"466","d66fa12b","1","5",561,"MATCH","L2"
"467","dbeeb7ea","1","5",2797,"MATCH","L2"
"468","fb3bf7ba","1","5",NA,"MATCH","L2"
"469","8fa7f98f","1","5",584,"MATCH","L2"
"470","7a99a20a","1","5",NA,"MATCH","L2"
"471","23c390c9","1","5",561,"MATCH","L2"
"472","0d3bd7a0","1","5",5359,"MATCH","L2"
"473","e026b148","1","5",NA,"MATCH","L2"
"474","b2f7aa09","1","5",2460,"MATCH","L2"
"475","59c1a5e7","1","5",767,"MATCH","L2"
"476","c114f50f","1","5",1539,"MATCH","L2"
"477","3deaf195","1","5",NA,"MATCH","L2"
"478","514e5fd7","1","5",1112,"MATCH","L2"
"479","ffbb64d5","1","5",932,"MATCH","L2"
"480","3387e93f","1","5",NA,"MATCH","L2"
"481","7b3f5faa","1","5",1007,"MATCH","L2"
"482","5f0bf551","1","5",672,"MATCH","L2"
"483","32e65391","1","5",608,"MATCH","L2"
"484","31e5a7ee","1","5",1049,"MATCH","L2"
"485","b03a0210","1","5",812,"MATCH","L2"
"486","848074de","1","5",543,"MATCH","L2"
"487","428830bf","1","5",761,"MATCH","L2"
"488","d5268043","1","5",1698,"MATCH","L2"
"489","947b36a8","1","5",859,"MATCH","L2"
"490","f38ed83e","1","5",2073,"MATCH","L2"
"491","9c64d930","1","5",NA,"MATCH","L2"
"492","eb02331f","1","5",809,"MATCH","L2"
"493","10848d7c","1","5",832,"MATCH","L2"
"494","cbd7a6c9","1","5",694,"MATCH","L2"
"495","2b9cdd4b","1","5",1425,"MATCH","L2"
"496","66ae62e9","1","5",931,"MATCH","L2"
"497","ad139538","1","5",847,"MATCH","L2"
"498","ced60332","1","5",589,"MATCH","L2"
"499","001b6dbd","1","5",952,"MATCH","L2"
"500","c6d0416f","1","5",1166,"MATCH","L2"
"501","7f602b96","0","6",NA,"MATCH","L2"
"502","4c0ed8e8","0","6",2560,"MATCH","L2"
"503","5f09194f","0","6",NA,"MATCH","L2"
"504","cf96590e","0","6",NA,"MATCH","L2"
"505","7e2ddfb9","0","6",NA,"MATCH","L2"
"506","c736e9f8","0","6",NA,"MATCH","L2"
"507","91388be0","0","6",NA,"MATCH","L2"
"508","42761fd6","0","6",1115,"MATCH","L2"
"509","00b3eb76","0","6",NA,"MATCH","L2"
"510","4eeee54c","0","6",1897,"MATCH","L2"
"511","8fbb4282","0","6",NA,"MATCH","L2"
"512","b5480d50","0","6",1355,"MATCH","L2"
"513","eedbf0c3","0","6",695,"MATCH","L2"
"514","66b7c5fa","0","6",1104,"MATCH","L2"
"515","a29ce690","0","6",1024,"MATCH","L2"
"516","c42d2738","0","6",837,"MATCH","L2"
"517","aa132e6a","0","6",NA,"MATCH","L2"
"518","2151232b","0","6",1166,"MATCH","L2"
"519","3260deba","0","6",1470,"MATCH","L2"
"520","c542a4f8","0","6",NA,"MATCH","L2"
"521","8508ee6c","0","6",2278,"MATCH","L2"
"522","8f551579","0","6",3493,"MATCH","L2"
"523","8a2c97d5","0","6",869,"MATCH","L2"
"524","4d419e7a","0","6",1102,"MATCH","L2"
"525","9fd8805f","0","6",NA,"MATCH","L2"
"526","0bd48e31","0","6",1082,"MATCH","L2"
"527","ee4837b0","0","6",NA,"MATCH","L2"
"528","93b24402","0","6",499,"MATCH","L2"
"529","d3967b17","0","6",922,"MATCH","L2"
